EntityId,GRACT,FBUSD,TimeStamp
0,0.214,2922,1657285650
0,0.216,2922,1657285651
0,0.215,2922,1657285652
0,0.216,2922,1657285653
0,0.244,2922,1657285654
0,0.255,2922,1657285655
0,0.258,2922,1657285656
0,0.252,2922,1657285657
0,0.255,2922,1657285658
0,0.409,2922,1657285659
0,0.506,2922,1657285660
0,0.504,2922,1657285661
0,0.506,2922,1657285662
0,0.508,2922,1657285663
0,0.505,2922,1657285664
0,0.506,2922,1657285665
0,0.507,2922,1657285666
0,0.506,2922,1657285667
0,0.502,2922,1657285668
0,0.496,2922,1657285669
0,0.495,2922,1657285670
0,0.493,2922,1657285671
0,0.501,2922,1657285672
0,0.505,2922,1657285673
0,0.505,2922,1657285674
0,0.502,2922,1657285675
0,0.505,2922,1657285676
0,0.503,2922,1657285677
0,0.505,2922,1657285678
0,0.503,2922,1657285679
0,0.504,2922,1657285680
0,0.505,2922,1657285681
0,0.501,2922,1657285682
0,0.506,2922,1657285683
0,0.503,2922,1657285684
0,0.505,2922,1657285685
0,0.503,2922,1657285686
0,0.505,2922,1657285687
0,0.506,2922,1657285688
0,0.502,2922,1657285689
0,0.505,2922,1657285690
0,0.503,2922,1657285691
0,0.506,2922,1657285692
0,0.298,2050,1657285693
0,0.255,2050,1657285694
0,0.254,2050,1657285695
0,0.254,2050,1657285696
0,0.255,2050,1657285697
0,0.251,2050,1657285698
0,0.253,2050,1657285699
0,0.247,2050,1657285700
0,0.216,2050,1657285701
0,0.215,2050,1657285702
0,0.000,3,1657285738
0,0.000,3,1657285739
0,0.000,3,1657285740
0,0.000,3,1657285741
0,0.000,3,1657285742
0,0.000,3,1657285743
0,0.000,3,1657285744
0,0.000,3,1657285745
0,0.000,3,1657285746
0,0.000,3,1657285747
0,0.000,3,1657285748
0,0.000,3,1657285749
0,0.000,3,1657285750
0,0.000,3,1657285751
0,0.000,3,1657285752
0,0.000,3,1657285753
0,0.000,3,1657285754
0,0.000,3,1657285755
0,0.000,3,1657285756
0,0.000,3,1657285757
0,0.000,26,1657285758
0,0.002,750,1657285759
0,0.008,1082,1657285760
0,0.008,1418,1657285761
0,0.011,1664,1657285762
0,0.003,1998,1657285763
0,0.006,3810,1657285764
0,0.538,3810,1657285765
0,0.651,3810,1657285766
0,0.656,3810,1657285767
0,0.653,3810,1657285768
0,0.657,3810,1657285769
0,0.656,3810,1657285770
0,0.658,3810,1657285771
0,0.654,3810,1657285772
0,0.651,3810,1657285773
0,0.656,3810,1657285774
0,0.654,3810,1657285775
0,0.654,3810,1657285776
0,0.654,3810,1657285777
0,0.653,3810,1657285778
0,0.651,3810,1657285779
0,0.654,3810,1657285780
0,0.656,3810,1657285781
0,0.655,3810,1657285782
0,0.653,3810,1657285783
0,0.657,3810,1657285784
0,0.663,3810,1657285785
0,0.659,3810,1657285786
0,0.657,3810,1657285787
0,0.664,3810,1657285788
0,0.658,3810,1657285789
0,0.661,3810,1657285790
0,0.663,3810,1657285791
0,0.656,3810,1657285792
0,0.663,3810,1657285793
0,0.663,3810,1657285794
0,0.656,3810,1657285795
0,0.653,3810,1657285796
0,0.646,3810,1657285797
0,0.653,3810,1657285798
0,0.658,3810,1657285799
0,0.665,3810,1657285800
0,0.655,3810,1657285801
0,0.658,3810,1657285802
0,0.660,3810,1657285803
0,0.661,3810,1657285804
0,0.656,3810,1657285805
0,0.663,3810,1657285806
0,0.663,3810,1657285807
0,0.657,3810,1657285808
0,0.660,3810,1657285809
0,0.663,3810,1657285810
0,0.656,3810,1657285811
0,0.658,3810,1657285812
0,0.667,3810,1657285813
0,0.658,3810,1657285814
0,0.663,3810,1657285815
0,0.663,3810,1657285816
0,0.652,3810,1657285817
0,0.661,3810,1657285818
0,0.663,3810,1657285819
0,0.656,3810,1657285820
0,0.660,3810,1657285821
0,0.660,3810,1657285822
0,0.662,3810,1657285823
0,0.661,3810,1657285824
0,0.661,3810,1657285825
0,0.659,3810,1657285826
0,0.663,3810,1657285827
0,0.664,3810,1657285828
0,0.329,3810,1657285829
0,0.331,3810,1657285830
0,0.331,3810,1657285831
0,0.327,3810,1657285832
0,0.328,3810,1657285833
0,0.328,3810,1657285834
0,0.333,3810,1657285835
0,0.329,3810,1657285836
0,0.332,3810,1657285837
0,0.331,3810,1657285838
0,0.329,3810,1657285839
0,0.333,3810,1657285840
0,0.331,3810,1657285841
0,0.334,3810,1657285842
0,0.330,3810,1657285843
0,0.334,3810,1657285844
0,0.329,3810,1657285845
0,0.330,3810,1657285846
0,0.330,3810,1657285847
0,0.328,3810,1657285848
0,0.331,3810,1657285849
0,0.331,3810,1657285850
0,0.332,3810,1657285851
0,0.328,3810,1657285852
0,0.336,3810,1657285853
0,0.596,3810,1657285854
0,0.656,3810,1657285855
0,0.661,3810,1657285856
0,0.655,3810,1657285857
0,0.659,3810,1657285858
0,0.660,3810,1657285859
0,0.658,3810,1657285860
0,0.658,3810,1657285861
0,0.656,3810,1657285862
0,0.657,3810,1657285863
0,0.657,3810,1657285864
0,0.658,3810,1657285865
0,0.655,3810,1657285866
0,0.655,3810,1657285867
0,0.658,3810,1657285868
0,0.656,3810,1657285869
0,0.658,3810,1657285870
0,0.662,3810,1657285871
0,0.655,3810,1657285872
0,0.659,3810,1657285873
0,0.663,3810,1657285874
0,0.656,3810,1657285875
0,0.658,3810,1657285876
0,0.666,3810,1657285877
0,0.659,3810,1657285878
0,0.659,3810,1657285879
0,0.664,3810,1657285880
0,0.660,3810,1657285881
0,0.658,3810,1657285882
0,0.663,3810,1657285883
0,0.661,3810,1657285884
0,0.658,3810,1657285885
0,0.658,3810,1657285886
0,0.653,3810,1657285887
0,0.654,3810,1657285888
0,0.493,2058,1657285889
0,0.332,2058,1657285890
0,0.327,2058,1657285891
0,0.329,2058,1657285892
0,0.330,2058,1657285893
0,0.330,2058,1657285894
0,0.328,2058,1657285895
0,0.331,2058,1657285896
0,0.331,2058,1657285897
0,0.328,2058,1657285898
0,0.000,3,1657285941
0,0.000,3,1657285942
0,0.000,3,1657285943
0,0.000,3,1657285944
0,0.000,3,1657285945
0,0.000,3,1657285946
0,0.000,3,1657285947
0,0.000,3,1657285948
0,0.000,3,1657285949
0,0.000,3,1657285950
0,0.000,3,1657285951
0,0.000,3,1657285952
0,0.000,3,1657285953
0,0.000,3,1657285954
0,0.000,3,1657285955
0,0.000,3,1657285956
0,0.000,3,1657285957
0,0.000,3,1657285958
0,0.000,3,1657285959
0,0.000,3,1657285960
0,0.002,72,1657285961
0,0.012,770,1657285962
0,0.007,1096,1657285963
0,0.007,1434,1657285964
0,0.003,1664,1657285965
0,0.005,2044,1657285966
0,0.580,5314,1657285967
0,0.747,5314,1657285968
